aa,first,last,rating,resourceid
,Vullnet,Basha,68,203376
,Ion,Gheorghe,68,170612
Tiago Alves,Tiago,Alves Sales de Lima,69,247912
,Adam,Crookes,60,203388
,Eddy,Gnahoré,73,241429
,Derrick,Williams,68,203393
,Ouasim,Bouy,61,203398
,Alan,Lithgow,66,203399
,Jesper,Daland,62,170636
,Alin,Popa,56,256459
,Luke,Norris,63,257733
,Emmanuel,Oyeleke,61,203416
,Lawrence,Thomas,70,203417
,Elliott,Whitehouse,61,203423
,Kristoffer,Løkberg,66,203424
,Ben,Warland,60,203426
,Elliott,Hewitt,64,225051
Kim Ju Kong,Ju Kong,Kim,60,203428
,George,Ray,58,252278
Leandro,Weverson L.,de Oliveira Moura,68,203430
,Cristian,Rodríguez,73,203431
,Calvin,Bassey,62,170664
,Ismaël,Diomandé,72,241436
,Alassane,Ndao,69,203435
,Denver,Hume,65,257821
,Benjamin,Kessel,68,236209
,Alex,Schalk,65,203445
,Phil,Neumann,68,203447
,Darko,Brašanac,76,236217
,Julius,Reinhardt,65,236221
,Oliver,Kragl,73,203454
,Leandro,Vella,61,203455
,Hekuran,Kryeziu,67,252363
,Tommie,Hoban,65,203461
,Juan Cruz,Bolado,63,203464
,Alfie,Whiteman,63,236237
,Guillermo,Viscarra,62,236239
,Toby,Sibbick,65,236241
,Alberth,Elis,75,236244
,Ovie,Ejaria,73,236245
,Ben,Woodburn,66,236246
,Davy,Klaassen,77,236248
,Terence,Kongolo,71,203483
,Thorgan,Hazard,83,203485
,Jamaal,Lascelles,77,203486
,Marin,Aničić,65,203487
,Aiden,O'Brien,68,252368
,Anderson,Santamaría,67,203491
,Víctor,Peña,66,236260
,Pedro,Aquino,73,236263
,Darío,Aimar,70,236264
,Danny,Rose,63,236267
Gervinho,Gervais,Yao Kouassi,78,203500
,Bobby,Decordova-Reid,72,170733
,Luis,Caicedo,65,203502
,Aaron,Amadi-Holloway,61,236271
,Joe,Bryan,74,203504
,Arnaut,Danjuma Groeneveld,75,203505
,Ibrahima,Conté,65,236276
,Bülent,Cevahir,61,236279
,Juan Cruz,Mascia,64,203512
,Nathangelo,Markelo,62,236282
,Luis,Mejía,76,253372
Limones,Jesús,Reguillos Moya,69,202089
,Ștefan,Vlădoiu,66,243552
,Giuseppe,Cuomo,57,247949
Aarón,Aarón,Martín Caricol,75,236292
,Lass,Bangoura,65,236295
,Maurício,Cortés,61,203528
,Eduard,Atuesta,73,236297
Koke Vegas,Jorge,Ruiz Ojeda,70,236298
Josema,José Manuel,Sánchez Guillén,66,236301
,Sammy,Ameobi,72,236304
,Daniel,Graovac,67,203537
,Julian,Wießmeier,64,236307
,Marko,Rog,75,203542
,Chris,Löwe,71,236311
,Alfie,Jones,63,203544
,Yan,Valery,72,236315
,Alessandro,Florenzi,81,236316
,Jim,Allevinah,67,203551
,Jake,Vokins,62,251191
,Rafał,Pietrzak,66,236325
,Ricardo,German,55,203558
,Valentin,Cojocaru,67,236328
,Erick,Cabaco,74,236330
Fran Beltrán,Francisco José,Beltrán Peinado,75,236331
,Paweł,Wszołek,70,235997
,Jake,Turner,54,203568
,Stuart,Dallas,73,236337
,Tom,Strannegård,61,203570
,John,Stones,80,254465
,Dawid,Abramowicz,62,203574
,Jayson,Molumby,67,203575
,Ramiz,Zerrouki,57,236344
,Iván,Balliu,73,252383
,Sondre,Fet,65,203581
Luiz Felipe,Luiz Felipe,Ramos Marchi,77,225077
,Quenten,Martinus,67,236355
,Florian,Hübner,72,203588
,Jayden,Sweeney,51,203590
,Faress,Al Aiyaf,61,252385
,Dylan,Watts,60,225079
,Connor,Wood,67,236364
,Kristers,Tobers,61,236365
,Kadiri,Mohammed,69,255557
,Cédric,Zesiger,67,236367
,Martin,Pospíšil,67,236369
,David,Pavelka,72,203603
,Pavel,Kadeřábek,80,203604
,Jiří,Skalák,67,203605
,Diaz,Wright,58,203606
,Emeka,Obi,57,236375
,Jonathan,Lunney,59,236377
,Jean-François,Gillet,67,236379
,Maximiliano,Olivera,71,105308
,Tobias,Kainz,65,236382
,Jordon,Garrick,62,203615
Pol Valentín,Pol,Valentín Sancho,67,236388
Giovanni,Giovanni Goran,Rodríguez Rivero,60,236390
,Ognjen,Vranješ,71,236391
,Danny,Blum,73,203624
,Jonathan,Bamba,78,208700
,Arne,Cassaert,56,225085
,Massimo,Bruno,73,254467
,Evan,Ndicka,74,203633
,Joazhiño,Arroé,67,236403
,Matthias,Hamrol,62,203637
,Dagur Dan,Þór­halls­son,52,236406
,Sandro,Kulenović,63,248168
Bruno Alves,Bruno Eduardo,Regufe Alves,72,236413
,Shaun,MacDonald,64,138110
Liu Jing,Jing,Liu,53,170879
,Blaise,Matuidi,83,252395
,Simon,Olsson,66,170890
,Oston,Urunov,64,236427
,Diego,Sosa,66,257858
,Alfredo,Donnarumma,73,236432
Um Won Sang,Won Sang,Um,64,203668
,Fabricio,Bustos,76,246937
,Henry,Ochieng,55,236441
,Joel,Kabongo,61,236444
,Ronaldo,Peña,64,236445
,Souleyman,Doumbia,68,236447
,Jonathan,Morsay,60,236454
,Dimitris,Giannoulis,74,236455
,Achilleas,Poungouras,68,236457
,Andrey,Eschenko,71,236458
,Alhassan,Yusuf,69,170923
,Jean-Philippe,Mateta,76,244895
,Lassana,Faye,66,236461
,Julien,Ngoy,65,236462
,Jack,Emmett,57,236464
,Clément,Michelin,72,257864
,Gaëtan,Courtet,70,236466
,Aksel,Aktaş,55,203699
Óscar Valentín,Óscar Valentín,Martín Luengo,68,236468
,Markus,Kaasa,63,243558
,Agustín,Cardozo,60,236471
,Mustapha,Bundu,72,236472
,Merveille,Goblet,63,236474
Javi Moyano,Javier,Moyano Lujano,71,216280
,Yves,Bissouma,75,170941
,Nazareno,Bazan,63,236480
,Mickaël,Nanizayamo,58,241840
,Davis,Keillor-Dunn,62,236485
,Santiago,Naveda,60,236487
,Kelvin,Arase,67,257868
Nino,Juan Francisco,Martínez Modesto,70,236490
,Virgil,Misidjan,72,113524
,Aaron,Bolger,58,203725
,Mattéo,Guendouzi,77,236495
,Anıl,Koç,60,236496
,Sam,Lammers,74,203729
Douglas Luiz,Douglas Luiz,Soares de Paulo,75,236498
José Ángel,José Ángel,Jurado de la Torre,66,236499
,István,Fülöp,65,203733
,Stéphane,Bahoken,73,236503
,Marcos,Senesi,77,203736
,Tomás,Conechny,64,236506
Adrián Diéguez,Adrián,Diéguez Grande,67,236507
,Thomas,Delaine,73,236508
,Wesley,Lautoa,71,203741
,Ivan,Oblyakov,72,236512
Héctor Bellerín,Héctor,Bellerín Moruno,80,234857
,Sonny,Bradley,69,203747
,Arnaud,Nordin,72,203749
,Conor,Townsend,71,236518
,Maarten,Rieder,58,203751
,Manuel,Zeitz,65,245742
,Matt,Smith,69,203754
Zé Luís,José Luís,Mendes Andrade,77,203756
,Santiago,Cáseres,74,203757
,Steven,Alzate,68,236527
,Lewis,O'Brien,68,236529
,Robin,Koch,76,236530
,Robert,Glatzel,70,236532
,Gerardo,Arteaga,75,236533
,Samuel,Adrian,59,236537
Welthon,Welthon,Fiel Sampaio,69,236540
,Loris,Karius,78,203774
,Jan,Sýkora,72,203775
,Jaromír,Zmrhal,72,236547
,Donny,Toia,67,236548
,Ahmad,Benali,71,203781
,Tommy,Smith,72,203782
,Elias,Huth,65,203783
Mario Suárez,Mario,Suárez Mata,74,236553
Guilherme Schettine,Guilherme,Schettine Guimarães,68,171018
,Martin,Hongla,68,236555
,Omari,Patrick,58,236556
,Salvatore,Esposito,66,236557
,Aron,Jóhannsson,69,252290
,Bruno,Romo,68,203793
,Felipe,Gutiérrez,74,203795
,Felipe,Seymour,68,203796
,Kévin,Fortuné,70,203798
,Francisco,Silva,72,235561
,Maarten,Paes,70,203801
,Owen,Wijndal,77,236571
,Mimoun,Mahi,71,236572
,Aaron,Pierre,66,225114
,Paul,Delecroix,65,203809
Kim Jin Ya,Jin Ya,Kim,67,203815
,Marco,Farfan,64,236586
,Karim,Aouadhi,69,236587
,Edi,Sylisufaj,61,203820
,Calvin,Stengs,78,236591
,Arkadiusz,Pyrka,58,236593
,Samuel,Shashoua,65,257886
,Japhet,Tanganga,71,236599
Yun Ju Tae,Ju Tae,Yun,59,236600
,Luis,Sandoval,61,203834
,Gianluca,Korte,66,236604
,Nick,Pope,82,203838
,Moise,Kean,74,203841
,Damián,Suárez,80,236610
,Lennart,Grill,68,203843
,Dante,Rigo,66,236613
,Richard,Windbichler,66,236615
,Cody,Cropper,64,203848
,Christopher,Dibon,68,203849
,Daniel,Drescher,63,203850
,Maximilian,Sax,67,203851
,Marcel,Holzer,57,203853
Christian Fernández,Christian,Fernández Salas,67,236622
,Aymen,Barkok,69,171087
,Johnny,Koutroumbis,62,236624
,Julius,Kade,61,236626
,Christopher,Operi,67,236627
Walterson,Walterson,Silva,68,236629
,Bruno,Zuculini,73,236630
,Halldor,Stenevik,57,203864
,Anthony,Caci,74,236634
,Harry,Anderson,65,236636
,Gabriel,Hauche,75,225125
,Darren,Maatsen,65,203872
,Ismail,Jakobs,69,203877
,Yanick,van Osch,62,252293
,Jacob,Brown,66,236649
,Brian,Koglin,64,236650
,Koffi,Djidji,72,236651
,Chaker,Alhadhur,68,203884
,Adrien,Trebel,73,203885
Eric Botteghin,Eric Fernando,Botteghin,73,203886
,Yoann,Touzghar,69,203888
,Šime,Vrsaljko,80,203889
,Florian,Baak,61,203890
Pozuelo,Alejandro,Pozuelo Melero,79,236661
,Leonel,Rivas,59,203895
,Henri,Toivomäki,60,236664
,Kévin,Rimane,63,203897
,Gabriel,Rojas,62,203898
,Adrián,Luna,65,236668
,Lucas,Andersen,76,203902
,Kilian,Jakob,62,203903
,Ignacio,Tapia,59,236675
,Anthony,Knockaert,74,236677
Melendo,Óscar,Melendo Jiménez,78,203910
,Manuel,Thurnwald,65,236679
,Josh,Kay,59,236681
,Héctor,Holguín,57,236686
,Khaled,Al Samiri,61,257901
,Michael,Ngadeu,76,236689
Elliot Simões,Elliot Jorge,Simões Inácio,60,236690
Marc Gual,Marc,Gual Huguet,70,246979
,Alex,Bass,66,236692
,Rául,Fernández,71,225134
,Jorris,Romil,63,203928
,Ousseynou,Cissé,64,236697
,Saša,Lukić,74,203930
,Reagan,Ogle,58,236699
,David,Raum,63,236702
,Pontus,Almqvist,62,236703
,Tristan,Nydam,63,236706
,Dimitri,Lavalée,66,236710
,James,Milner,80,236712
,Gökhan,Kardeş,58,138412
,Lamine,Fomba,68,257906
,Keagan,Dolly,70,236721
Aythami Artiles,Aythami,Artiles Oliva,68,225139
Pepe Mena,José,Mena Rodríguez,63,171189
,Viktor,Fischer,74,236727
,Lutsharel,Geertruida,72,203965
,Matheo,Zoch,69,241187
,Julio César,Pérez,59,236744
,Luis,González,69,236746
,Konstantinos,Fortounis,77,236747
,Sondre,Sørli,62,203980
,Andreas Eines,Hopmark,66,236750
,Daouda Karamoko,Bamba,67,236751
,Ulysses,Llanez Jr.,65,236752
,Patryk,Klimala,65,255570
,Oliver,Christensen,67,236757
,Ao,Tanaka,69,236758
,Benedikt,Zahn,57,236764
,Dominik,Szoboszlai,75,252453
,Manolis,Siopis,72,236772
,Ivan,Perišić,82,236773
,Michael,Zant,59,181458
,Tristan,Abrahams,59,222837
,Martin,Terrier,76,236785
,Dominik,Franke,59,236786
,Antonín,Barák,75,236787
,Christoph,Kramer,78,236791
,Jonas,Dakir,58,204024
,Stelios,Kitsiou,72,236794
,Nicky,Devlin,66,204030
,Facundo,Medina,70,204033
,Emir,Dilaver,72,236804
,Martin,Kobylański,68,204043
,Habib,Maïga,75,204044
,Santiago,Vergini,68,236817
,Rayan,Al Marshoud,51,204050
,Youri,Schoonderwaldt,59,254481
,Gabriel,Gudmundsson,65,252462
,Isak,Pettersson,73,236822
,Ramón,ten Hove,63,236823
Vitinho,Victor,da Silva,64,236824
,Darren,Keet,67,244661
,Aaron,Seydel,65,204062
,Orji,Okwonkwo,69,236831
,Dennis,Smarsch,62,236836
Gerard Badía,Gerard,Badía Cortés,68,241388
,Jordi,Cortizo,65,204071
,Jairo,Torres,66,236841
,Joshua,Pérez,66,236842
,M'Baye,Niang,78,236843
,Rafał,Wolski,66,204077
,Gianluigi,Donnarumma,85,204078
,Damir,Ceter,60,230621
,John,Brooks,76,236849
Mikel Iribas,Mikel,Iribas Aliende,68,204082
Óliver Torres,Óliver,Torres Muñoz,77,204084
,Al Hassan,Toure,60,208777
,Harrinson,Mancilla,67,252468
,Janis,Blaswich,73,236859
,Ryan,Jackson,65,204092
,Brendan,Kiernan,59,204095
,Anass,Achahbar,64,204097
,Lucas,Dias,64,204098
Arribas,Óscar,Arribas Pasero,66,236867
,Yiğithan,Güveli,62,236868
,Yassin,Ayoub,71,236869
,Kenny,Lala,79,204102
,Gabriel,Deac,61,204105
,Andreas,Poulsen,65,247936
Bruno Leite,Bruno Miguel,Santos Leite,65,236875
Huang Wenzhou,Wenzhuo,Huang,47,236877
,Mikael,Anderson,67,257933
,Brandon,Vazquez,62,236883
,Tomáš,Vaclík,82,236885
,Jakub,Brabec,74,204120
,Denis,Genreau,60,204121
,Yoël,Armougom,67,236890
,Jan,Bořil,78,241551
,Eljif,Elmas,72,204125
,Michel,Aebischer,73,241390
,Kevin,Escamilla,66,236898
,Edgar,Castillo,66,204131
,Michael,de Leeuw,68,171364
,Branco,Provoste,57,204136
,Carlo,Villanueva,62,236905
Saúl,Saúl,García Cabrero,71,236906
,Katsuhiro,Nakayama,64,219709
,Paul,Aguilar,74,255591
,Artur,Boruc,73,171378
,Nick,Suman,54,105846
,Jens,Jønsson,70,236919
,Yannick,Stark,70,204152
,Ryan,Cooney,58,204153
,Enrique,Palos,64,236923
,Alexander,Ludwig,67,171391
,Hannes,Wolf,72,204164
,Mark,Sykes,62,236935
,Mallik,Wilks,67,246847
,Andersson,Ordóñez,66,236938
,Jake,Hastie,65,236939
,Jeron,Al-Hazaimeh,64,236941
,Fousseni,Diabaté,71,204175
,Jordan,Torunarigha,75,236944
,Jonathan,Bay,65,236947
,Paweł,Tomczyk,61,251212
,Joe,Abrigo,67,236955
,Samuel,Obeng,67,236956
,Tom,Trybull,72,252485
,Roland,Niczuly,66,204193
,Mohamed,Adam,54,236963
,Luke,Gambin,62,252486
,Ahmet,Muhamedbegovic,61,208797
,Igor,Zlatanović,66,236976
,Paul,Papp,65,252304
,Adam,Reach,72,204211
,Charlie,Wyke,64,204215
,Adam,Jackson,65,204217
,Curtis,Edwards,66,204219
,Spencer,Richey,67,204220
,Matthew,Dolan,58,236989
,Nick,Lima,69,204222
,Darío,Lezcano,73,236993
,Atakan,Akkaynak,63,204226
Cris Salvador,Cristian,Salvador González,70,236996
,James,Léa Siliki,73,236997
,David,Martínez,72,236998
,Reggie,Cannon,72,241569
,Charly,Musonda,73,237000
Edgar Badía,Edgar,Badía Guardiola,73,204233
,Keanu,Baccus,67,204234
,Baptiste,Reynet,75,237005
,Michaël,Barreto,68,204240
,Marcus,Bettinelli,71,204242
,Kerim,Frei,72,204246
,Mauro,Arambarri,80,204247
,Mohammed,Al Zubaidi,59,232665
,Yanis,Merdji,67,237020
,Luca,Itter,68,237023
,Billy,Jones,65,237024
,Santiago,Arias,81,138722
,Alberto,Paloschi,72,204259
Javi Jiménez,Javier,Jiménez García,63,186961
,Juan Camilo,Hernández,74,237032
,David,Min,57,237034
,Ryan,Barnett,58,257959
,Zander,Clark,69,237036
,Lazaros,Lamprou,69,204269
,Dimitrios,Nikolaou,67,237039
,Liam,Polworth,66,237040
Roque Mesa,Roque,Mesa Quevedo,78,204275
,Teun,van Grunsven,58,204277
Cristian Herrera,Cristian,Herrera Pérez,67,257961
,Chris,Kane,61,204280
,Mohamed Buya,Turay,69,204282
,Saido,Berahino,71,237051
,Bernardo,Cuesta,66,204289
,Anthony,O'Connor,64,237031
Arthur,Arthur Henrique,Ramos Oliveira Melo,84,204297
,Christian,Ramirez,69,230658
,Hendrik,Van Crombrugge,77,237075
,Frank,Boya,71,204308
,Kurt,Zouma,80,237077
,Vasilios,Xenopoulos,60,204311
Ma Chongchong,Chongchong,Ma,51,237081
,Dean,Lewington,65,257967
,Kacper,Smoliński,52,138830
Kim Min Jae,Min Jae,Kim,73,252506
,Xavier,Mercier,70,237086
Fu Yuncheng,Yuncheng,Fu,48,204320
,Rory,McKenzie,67,257968
,Maciej,Żurawski,58,204322
,Matty,Kennedy,67,252507
Igor,Igor Julio,dos Santos de Paulo,64,204324
Han Seung Gyu,Seung Gyu,Han,65,241585
,Denis,Prychynenko,67,237098
Lee Seung Mo,Seung Mo,Lee,61,204331
,Ioannis,Gelios,67,237101
,Liam,Kelly,68,204334
,Mikael,Soisalo,64,225203
Luís Neto,Luís Carlos,Novo Neto,75,237108
,Maximiliano,López,68,204341
Fede Vico,Federico,Vico Villegas,74,138806
Raúl García,Raúl,García Escudero,80,204346
,Kortne,Ford,64,171579
,Ibrahim,Šehić,69,237116
,Aleksandar,Trajkovski,69,204349
,Dino,Arslanagic,72,204350
,Craig,Forsyth,70,204352
,Jak,Alnwick,66,204353
,Paul,Dummett,75,204354
,Patric,Pfeiffer,64,204355
,Demba,Thiam,53,241590
,Samy,Kehli,64,237127
,Gaëtan,Weissbeck,65,204363
,André,Österholm,56,237132
,Jürgen,Locadia,75,252514
,Benjamin,van Leer,69,204366
,Sander,van de Streek,70,204367
,Hilal,Ben Moussa,63,204370
,Ludvig,Fritzson,62,204371
,Odilon,Kossounou,67,237140
,Johannes,Brinkies,68,246875
,Barry,McNamee,58,204380
,Daleho,Irandust,69,204383
,Santiago,García,76,237152
,Harry,Van der Saag,56,204385
Juan Carlos,Juan Carlos,Real Ruiz,73,253401
,Andreas,Wiegel,68,204387
Cheng Hui,Hui,Cheng,49,204388
,Rami,Kaib,64,252518
,Ro-Shaun,Williams,65,235516
,Sean,Longstaff,73,237160
Li Xuebo,Xuebo,Li,49,237161
,Nick,Bakker,65,252519
,Eran,Zahavi,81,204397
Diogo Figueiras,Diogo José,Figueiras,74,204399
Aitor Lorea,Aitor,Lorea Vergara,62,204401
,Sacha,Kljestan,68,237170
,Lewis,Freestone,53,176062
,Ryan,Schofield,60,237175
Guridi,Jon,Guridi Aldalur,68,237176
,George,Saville,69,238126
,Yoan,Severin,61,204412
,Adrian,Benedyczak,58,237181
,Matías,Rojas,78,243154
,Keidi,Bare,67,237183
,Janek,Sternberg,64,237184
,Dylan,McGowan,64,204420
,Paul,Izzo,67,204422
,Antoine,Leautey,66,204424
,Andrea,D'Errico,64,237198
,Kendall,McIntosh,61,257767
,Cristhian,Paredes,68,237201
,Reeco,Hackett-Fairchild,57,237203
,Ashley,Maynard-Brewer,52,237204
,Clément,Diop,65,237205
,Samuel,Kalu,76,204438
,Matej,Mitrović,72,237207
,Dimitri,Mohamed,66,237209
Yuri Ribeiro,Yuri,Oliveira Ribeiro,73,204442
,Josh,Knight,64,237211
,Lalas,Abubakar,68,237213
,Fabio,Lucioni,70,237214
,Niko,Hansen,65,204447
,Pape Maly,Diamanka,68,237217
,Koray,Günter,71,204450
,Chris,Odoi-Atsem,60,204451
,Juan,Foyth,75,237220
,Julian,Gressel,74,237221
,Adedeji,Oshilaja,66,237223
,Tomás,Belmonte,71,204458
,Dawson,Devoy,51,241607
,Joe,Ralls,72,252758
,Oscar,Brennan,56,204464
,Tom,Weilandt,67,237233
,Scott,McTominay,79,204468
,Enis,Bardhi,79,237238
,Bouna,Sarr,77,237239
,Felipe,Román,66,204472
,Mohammed,Abdulrahman,66,237242
,Tom,Beugelsdijk,66,247071
,Eddie,Segura,70,204476
Paulo Vinícius,Paulo Vinícius,Souza dos Santos,68,237245
,Germán,Berterame,69,237247
,Stefan,Cleveland,62,237248
,Jakob,Nerwinski,67,237250
,Riyad,Mahrez,85,237252
,Kévin,Denkey,64,204485
,Miles,Robinson,69,237254
,Jeremy,Ebobisse,70,237255
,Jackson,Yueill,70,237256
,Mohammed,Al Sahli,58,237257
,Pascal,Breier,65,252535
,Raphael,Holzhauser,70,204492
,Steffen,Lang,62,204493
,Patrick,Bauer,73,204495
,Riku,Matsuda,70,204496
,Ryan,Inniss,64,238137
,Jake,McGuire,53,204499
,Matt,Ingram,65,237269
,Christian,Oliva,69,204502
,Mick,van Buren,69,247076
,Shamit,Shome,63,204506
,Maxime,Dupé,71,237279
,Nicolás,Reniero,72,204513
,Aaron,Connolly,70,237283
Rubén Pardo,Rubén,Pardo Gutiérrez,72,237286
Iñigo Martínez,Iñigo,Martínez Berridi,80,204523
Hervías,Pablo,Hervías Rubio,73,204525
,Michy,Batshuayi,78,204526
Huang Zichang,Zichang,Huang,63,204529
,Abdulkarim,Al Qahtani,62,241619
,Omar,Kharbin,72,232680
,Raúl,Ruidíaz,76,237303
,Luis,Advíncula,74,204538
,Giancarlo,Carmona,65,204539
,Yoshimar,Yotún,72,204541
,Daniel,Steres,67,204542
,Brandon,Cooper,59,209761
,Davy,Roef,72,237316
,Mergim,Berisha,69,204549
,Ricardo,Álvarez,71,237321
José Fonte,José Miguel,da Rocha Fonte,78,204555
,Nathan,Tella,61,171791
,Joseph,Willock,71,237328
,Thibault,De Smet,69,237329
,Alfie,May,63,237331
,Louis,Verstraete,67,237332
,Thibaud,Verlinden,62,237333
,Ryuta,Koike,68,237337
Carlinhos Junior,Carlos Antonio,De Souza Junior,70,237339
,Sam,Stubbs,62,237340
,Jon,Gorenc Stanković,68,237341
,Damien,Dussaut,65,226129
,Abdel Hakim,Abdallah,60,219781
,Niklas,Thor,64,237347
,Karl,Larson,65,237348
,Nikita,Kotin,56,237350
,Diego,Montiel,65,258012
,Nicke,Kabamba,63,237354
,Tatsuki,Seko,62,237355
,Lukas,Jonsson,63,255590
,Andrés,Colorado,65,237359
,Ignacio,Scocco,75,247091
,Jimmy,Giraudon,70,171828
,Willy,Caballero,75,208862
,Michael,Mancienne,67,139062
,Leonardo,Ponzio,73,171831
,Leo,Bengtsson,64,139064
Nani,Luís Carlos,Almeida da Cunha,80,237371
Juanjo Nieto,Juan José,Nieto Zarzoso,70,139068
,Alex,Dobre,61,237376
,Matthew,Sorinola,52,237378
,Ole Kristian,Selnæs,74,252555
,Christian,Vilches,69,204612
Mário Rui,Mário Rui,Silva Duarte,79,214326
,Alessandro,Bastoni,75,204614
,Ian,Harkes,64,237383
,Vladimir,Hernández,71,237385
,Jaiber,Jiménez,60,214327
,Thomas,Grøgaard,66,252557
,Victor,van den Bogert,60,204626
,Brent,Kallman,64,237395
,Abdulelah,Al Malki,65,237397
,Sido,Jombati,63,230713
,Julian,Derstroff,64,204635
,Willi,Orban,79,204637
,Stefan,Savić,81,204638
,Yusuke,Segawa,68,204639
,Vasyl,Kravets,70,237409
,Caner,Erkin,76,237410
,Simon,Kroon,65,171875
,Marek,Hamšík,81,204644
,Jordan,Williams,66,171877
,Amir,Abedzadeh,73,237415
,Alonso,Escoboza,69,237419
,Yulian,Gómez,62,204652
,Roberto,Alvarado,76,237422
Paik Seung Ho,Seung Ho,Paik,69,237043
,Martin,Valjent,73,237424
,Shogo,Nakahara,61,219585
,Genta,Miura,69,237428
,David,Andrade,65,237429
,Andrés,Guardado,78,204664
,Jesús,Meza,62,171897
,Ryo,Takano,62,204666
Erik Expósito,Erik,Expósito Hernández,66,237436
,Toshio,Shimakawa,66,237438
,Hannes,Delcroix,64,237439
Eric Curbelo,Eric,Curbelo de la Fe,69,237440
,Takuo,Okubo,65,237442
,Nicolò,Armini,65,237443
Oriol Rosell,Oriol,Rosell Argerich,69,248874
Lucas,Lucas,Alves de Araujo,70,204677
,Antonio,Delamea,66,237447
Rafael Lopes,Rafael,Guimarães Lopes,70,237448
,Mats,Seuntjens,70,204682
,Ado,Onaiwu,69,204684
,Paweł,Olkowski,68,237453
,Stefan,Schwab,71,204687
,Philipp,Hosiner,67,204688
,Mauricio,Pereyra,76,204690
,Cristian,Colmán,66,204691
,Adam,Kelsey,53,237461
,Duje,Ćaleta-Car,78,237463
,Salim,Khelifi,67,225263
,Dan,Casey,62,204701
,Jonathan,Ávila,64,237470
,Lewis,Smith,62,214341
,Diego,Rubio,66,252571
,Franco,Quinteros,56,204709
,Ben,Liddle,58,246865
,Joel,Campbell,74,237479
,Sorin,Șerban,61,204713
,Patrick,Sontheimer,66,252321
Lee Bum Soo,Bum Soo,Lee,63,237490
,Ognjen,Gnjatić,65,204725
,Djordje,Mihailovic,66,237494
Afonso Taira,Afonso Miguel,Vilhena Taira,64,237496
,Jacob,Schoop,64,204729
,Abdelhamid,Sabiri,67,204730
,Dennis,Lippert,62,237499
,Clarke,Oduor,63,237500
Salvador Agra,Salvador José,Milhazes Agra,66,237503
,Renato,Ibarra,76,204737
,Liam,Craig,64,204738
,James,McArthur,75,171971
,Bryan,Lasme,61,171972
,José,Leguizamón,70,237509
,Gonzalo,Bergessio,75,237510
,Gastón,Togni,71,171975
,Anel,Šabanadžović,64,237512
,Mady,Camara,75,252578
,Kostas,Stamoulis,59,237520
,Sory,Kaba,66,252579
Toño García,Antonio,García Aranda,76,237524
,Mads Døhr,Thychosen,68,204757
,Charlie,Taylor,77,225273
,Grant,Hall,69,204760
,Tobias,Schilk,62,204761
,Phillipp,Steinhart,68,204762
Rodrigo,Rodrigo,Alves Soares,74,204763
,Volodymyr,Kostevych,67,237532
,Rafael,Baca,71,237537
,Philipp,Förster,70,204771
,Mehdi,Jeannin,64,237540
,Gustavo,Páez,63,204773
,Luis,Barraza,57,237542
,Toni,Leistner,73,247121
,Jovan,Stojanović,66,204776
,Oussama,Haddadi,72,237546
De la Bella,Alberto,de la Bella Madueño,72,237548
,Aidan,Stone,57,172013
,Mikael,Mandron,63,243594
,Sebastian,Mladen,68,204785
,Pablo,Mouche,73,204786
,Christian,Luyindama,76,172019
,Sinan,Yazıcı,56,237556
,Moussa,Djenepo,75,237557
,Daniel,Lopar,67,237560
,Kristoffer,Zachariassen,70,139257
Chen Chunxin,Chunxin,Chen,48,237566
,Jaroslav,Mihalík,65,255597
,Samuel,Tetteh,69,237571
,Jerónimo,Pourtau,62,237574
Kim Min Ho,Min Ho,Kim,57,237575
,Daniel,Schmidt,70,247127
,Dever,Orgill,69,237580
,Katsuya,Nagato,69,237581
,Menno,Koch,63,237582
,Gary,Mackay-Steven,69,204816
Nildo Petrolina,Evanildo,Fernandes Gomes,73,204820
,Michael,Blauensteiner,65,204823
,Ben,Wilson,61,237592
,Abdoulaye,Ba,66,204825
,Marco,Friedl,70,204826
Vadillo,Álvaro,Vadillo Cifuentes,74,237595
,Juan de Dios,Aguayo,59,204830
,David,Nugent,66,258053
,Alan,Franco,74,139296
,Raúl,Jiménez,84,237604
,Agim,Zeka,60,204838
,Yanick,Brecher,68,237609
,Dominik,Livaković,80,204842
,Amin,Affane,62,241671
,Todd,Kane,69,204845
,Christian,Fuchs,73,204847
,Scott,Twine,55,139313
,Jonathan,Stead,58,237619
,Borna,Barišić,73,139317
,Naoki,Kawaguchi,62,241673
,Kane,Hemmings,63,237624
,Arne,Maier,74,204860
,Alexandru,Pașcanu,67,237629
Iván Sánchez,Iván,Sánchez Aguayo,73,237630
,Sebastian,Walukiewicz,68,204863
,Taisei,Miyashiro,57,243497
,Florian,Pick,70,247136
,Juan Manuel,Sanabria,65,237635
,Nedim,Bajrami,65,252326
,Raoul,Petretta,72,237640
Clerc,Carlos,Clerc Martínez,76,237642
,Daniel,Muñoz,75,204876
,Ajdin,Hrustić,69,237646
,Diego,Valeri,79,237647
,Brice,Samba,75,172114
,Benjamin,Mendy,81,204883
,Prince-Désir,Gouano,71,204884
,Harrison,Hopper,50,204886
,Efraín,Orona,60,252881
,Santiago,Bueno,64,237657
,Daniel,Schütz,63,237658
,Brooks,Lennon,69,204892
,Billel,Omrani,71,237662
,Kei,Chinen,68,204895
